PLAYER_SK,Player_Id,Player_Name,Batting_hand,Bowling_skill,Country_Name
0,1,SC Ganguly,Left-hand bat,Right-arm medium,India
1,2,BB McCullum,Right-hand bat,Right-arm medium,New Zealand
2,3,RT Ponting,Right-hand bat,Right-arm medium,Australia
3,4,DJ Hussey,Right-hand bat,Right-arm offbreak,Australia
4,5,Mohammad Hafeez,Right-hand bat,Right-arm offbreak,Pakistan
5,6,R Dravid,Right-hand bat,Right-arm offbreak,India
6,7,W Jaffer,Right-hand bat,Right-arm offbreak,India
7,8,V Kohli,Right-hand bat,Right-arm medium,India
8,9,JH Kallis,Right-hand bat,Right-arm fast-medium,South Africa
9,10,CL White,Right-hand bat,Legbreak googly,Australia
10,11,MV Boucher,Right-hand bat,Right-arm medium,South Africa
11,12,B Akhil,Right-hand bat,Right-arm medium-fast,India
12,13,AA Noffke,Right-hand bat,Right-arm fast-medium,Australia
13,14,P Kumar,Right-hand bat,Right-arm medium,India
14,15,Z Khan,Right-hand bat,Left-arm fast-medium,India
15,16,SB Joshi,Left-hand bat,Slow left-arm orthodox,India
16,17,PA Patel,Left-hand bat,N/A,India
17,18,ML Hayden,Left-hand bat,Right-arm medium,Australia
18,19,MEK Hussey,Left-hand bat,Right-arm medium,Australia
19,20,MS Dhoni,Right-hand bat,Right-arm medium,India
20,21,SK Raina,Left-hand bat,Right-arm offbreak,India
21,22,JDP Oram,Left-hand bat,Right-arm fast-medium,New Zealand
22,23,S Badrinath,Right-hand bat,Right-arm offbreak,India
23,24,K Goel,Left-hand bat,Right-arm offbreak,India
24,25,JR Hopes,Right-hand bat,Right-arm medium,Australia
25,26,KC Sangakkara,Left-hand bat,Right-arm offbreak,Sri Lanka
26,27,Yuvraj Singh,Left-hand bat,Slow left-arm orthodox,India
27,28,SM Katich,Left-hand bat,Slow left-arm chinaman,Australia
28,29,IK Pathan,Left-hand bat,Left-arm medium-fast,India
29,30,T Kohli,Right-hand bat,Right-arm medium,India
30,31,YK Pathan,Right-hand bat,Right-arm offbreak,India
31,32,SR Watson,Right-hand bat,Right-arm fast-medium,Australia
32,33,M Kaif,Right-hand bat,Right-arm offbreak,India
33,34,DS Lehmann,Left-hand bat,Slow left-arm orthodox,Australia
34,35,RA Jadeja,Left-hand bat,Slow left-arm orthodox,India
35,36,M Rawat,Right-hand bat,N/A,India
36,37,D Salunkhe,Right-hand bat,Legbreak,India
37,38,SK Warne,Right-hand bat,Legbreak googly,Australia
38,39,SK Trivedi,Right-hand bat,Right-arm medium,India
39,40,G Gambhir,Left-hand bat,Legbreak,India
40,41,V Sehwag,Right-hand bat,Right-arm offbreak,India
41,42,S Dhawan,Left-hand bat,Right-arm offbreak,India
42,43,L Ronchi,Right-hand bat,N/A,Australia
43,44,ST Jayasuriya,Left-hand bat,Slow left-arm orthodox,Sri Lanka
